,F,d,h1,h2,l,x
2017-10-26 07:30:00,18905.806964680465,0.0051242625194974495,-0.0474035600606148,-0.031543853605805486,0.015859706454809316,-0.05796344469211352
2017-10-26 07:32:00,20026.385395824655,0.04849598742888486,0.008175252716365586,-0.01478964719395072,-0.022964899910316305,0.018916693040983423
2017-10-26 07:34:00,19874.9172007767,-0.013560995229492681,0.046190094009345775,0.0010439035802960808,-0.045146190429049694,-0.01147318806890052
2017-10-26 07:36:00,18058.4381903921,0.04896459873504842,-0.026647801723595058,-0.07261683148254565,-0.04596902975895059,-0.09626906423004288
2017-10-26 07:38:00,18187.872510795987,0.03472858700256687,-0.017012483439870794,-0.06324757210229671,-0.04623508866242592,-0.09176655720202656
2017-10-26 07:40:00,20430.963509132915,-0.015302830640661451,0.03224342023238276,0.030703401344232363,-0.0015400188881503976,0.046103972047803275
2017-10-26 07:42:00,15969.394445491258,-0.031502162908912154,-0.04696902528882151,-0.08041043493292202,-0.0334414096441005,-0.1923230327747562
2017-10-26 07:44:00,20096.59205684188,0.00014101510536627948,0.04590074037424939,-0.0038630089980830687,-0.04976374937233246,-0.007585002890799858
2017-10-26 07:46:00,18243.923730323764,-0.034225738168965764,0.000743967321025718,-0.026832369751721874,-0.027576337072747592,-0.08789047767240951
2017-10-26 07:48:00,22536.168298054432,0.04996103012424019,0.0071901825411498504,0.045102456764265206,0.037912274223115355,0.1401659436527706
2017-10-26 07:50:00,23094.348889811128,0.04011479022380485,0.030130009717891287,0.06419424150351376,0.03406423178562247,0.16850327323083236
2017-10-26 07:52:00,22058.17548334024,-0.03019264377836092,0.033207743506373,0.05830920955594747,0.025101466049574472,0.08642577533353402
2017-10-26 07:54:00,20658.214519207035,0.021301640821036222,0.0327549558015085,0.014775198211870552,-0.01797975758963795,0.050852037244777326
2017-10-26 07:56:00,21740.735267878477,0.02456173448029647,0.02324354652235132,0.018202187097534545,-0.005041359424816774,0.06096610867536556
2017-10-26 07:58:00,19714.94697023562,0.04609076325886706,-0.014760066951313676,-0.023881875920808614,-0.009121808969494938,-0.0016729885827501678
2017-10-26 08:00:00,20781.886545627567,0.030860823743354526,-0.031634307392318296,0.01806218019329573,0.04969648758561403,0.06698518412994599
2017-10-26 08:02:00,19460.166637782193,-0.015445978084354071,0.00681492808184684,-0.0038309751682510246,-0.010645903250097864,-0.02310792842085612
2017-10-26 08:04:00,19868.74605866334,-0.03822847808388333,0.0020588286068165887,0.01004152088180673,0.007982692274990141,-0.018145436320269867
2017-10-26 08:06:00,19493.97068227196,0.030443192805315683,-0.037111752909303124,-0.024819634218635825,0.012292118690667299,-0.019196075631955967
2017-10-26 08:08:00,20245.002486699523,-0.013653998489583818,0.02377696399265898,0.019628817885397887,-0.004148146107261094,0.025603637281211955
2017-10-26 08:10:00,19410.47238225466,-0.0008445795612043519,-0.0484345386199485,-0.018418746938354887,0.030015791681593615,-0.037682073437914125
2017-10-26 08:12:00,19002.310122223837,0.02404731115617814,-0.04126861603107921,-0.04446982391045221,-0.0032012078793730026,-0.06489233666472628
2017-10-26 08:14:00,21744.473153906194,0.03244830387223133,0.02771259432831251,0.026233954465744766,-0.0014786398625677433,0.08491621280372086
2017-10-26 08:16:00,18888.424378647425,-0.04201832749673177,-0.015468033523311865,0.006665553771702366,0.02213358729501423,-0.028687219953327035
2017-10-26 08:18:00,18360.925527851465,-0.013033856995910878,-0.04651566738345293,-0.02829123771604662,0.01822442966740631,-0.06961633242800412
2017-10-26 08:20:00,20093.394498952446,0.04849983960830656,0.015001120185085093,-0.032632053931471054,-0.04763317411655615,-0.016764268254635548
